,I1L_valid,I2L_valid,I1H [nA],I1L [10pA],V1 [10nV],V2 [10nV],I2H [nA],I2L [10pA]
1615674511.642321122,1,1,-45955,672808,-1236549,25799747,128038,23466
1615674512.645864354,1,1,-51206,391409,-1239498,25796809,123029,-288533
1615674513.649407008,1,1,-49466,535911,-1236426,25799502,125266,-68893
1615674514.652921079,1,1,-46493,614165,-1236180,25801093,124667,16549
1615674515.656454381,1,1,-45260,766975,-1236057,25800359,127314,135265
1615674516.659988909,1,1,55476,11192879,-1199930,25801338,129771,439314
1615674517.663526729,1,1,-49023,343913,-1237655,25797789,121737,-318584
1615674518.667062027,1,1,-49150,545463,-1236918,25799747,123722,-59839
1615674519.670595206,1,1,-45481,787340,-1234829,25802562,125298,216330
1615674520.674134453,1,1,-45987,714905,-1235935,25801460,123250,70312
1615674521.677654247,1,1,-47632,640630,-1237163,25800114,124919,-7863
1615674522.681190323,1,1,-49182,441814,-1235935,25798890,122241,-184755
1615674523.684724242,1,1,-48802,554279,-1237040,25799747,124699,-51784
1615674524.688257265,1,1,-46082,838324,-1234091,25802807,129992,249165
1615674525.691788716,1,1,-48169,686355,-1236180,25800481,126558,36845
1615674526.695320464,1,1,-48739,472712,-1237409,25798768,126337,-203738
1615674527.698854162,1,1,-43931,940658,-1235320,25801705,130086,501518
1615674528.702386193,1,1,-49688,546672,-1236918,25799502,124919,-64673
1615674529.705930364,1,1,-45734,810703,-1235320,25802562,128165,198467
1615674530.709450520,1,1,-49719,668829,-1235935,25800481,124258,17424
1615674531.712973298,1,1,-51427,380333,-1238392,25798033,122525,-294487
1615674532.716529147,1,1,-49782,535333,-1235812,25801216,127534,-67982
1615674533.720060167,1,1,-49150,623296,-1235074,25801338,126022,29088
1615674534.723588180,1,1,-48043,765608,-1235197,25800481,125991,136473
1615674535.727119664,1,1,-48865,659172,-1235812,25800359,125392,10244
1615674536.730631842,1,1,-51490,380893,-1237409,25798523,120477,-279724
1615674537.734179350,1,1,-49561,542834,-1235566,25800236,125676,-59051
1615674538.737715499,1,1,-56361,-267167,-1237778,25800971,118996,-521762
1615674539.741256872,1,1,-45639,736988,-1234337,25801338,124667,97263
1615674540.744793947,1,1,-46873,655632,-1234829,25800481,124762,6619
1615674541.748359585,1,1,-48075,382874,-1237655,25799502,118177,-275486
1615674542.751849274,1,1,-48770,543220,-1235074,25801338,126810,-60592
1615674543.755377893,1,1,-46936,672755,-1234952,25801338,125833,87614
1615674544.758917875,1,1,-48549,758948,-1234337,25801705,128826,127419
1615674545.762445518,1,1,-48296,659348,-1234706,25800481,125392,10489
1615674546.765974036,1,1,-49023,378142,-1236672,25799257,120887,-286396
1615674547.769513020,1,1,-48264,544324,-1234583,25800971,122588,-62063
1615674548.773044438,1,1,-46715,612535,-1234706,25801705,126841,17057
1615674549.776583063,1,1,-50636,672142,-1234706,25802195,126463,108366
1615674550.780104412,1,1,-49751,656754,-1234829,25800114,126211,4483
1615674551.783640018,1,1,-50289,379544,-1236180,25798278,119721,-296046
1615674552.787172220,1,1,-49023,532231,-1234337,25800971,123344,-71135
1615674553.790708984,1,1,-47916,577168,-1233354,25801583,125077,-25497
1615674554.794240674,1,1,-46462,802097,-1233108,25803174,128038,188502
1615674555.797773407,1,1,-46841,668636,-1234829,25800114,124541,19053
1615674556.801323760,1,1,-51459,384206,-1236303,25800604,120603,-293734
1615674557.804837795,1,1,-50605,535105,-1235197,25800971,125802,-69191
1615674558.808371721,1,1,-48138,588612,-1234952,25800848,125045,-12171
1615674559.811902481,1,1,-46620,782188,-1233968,25802684,126558,159607
1615674560.815439843,1,1,-47632,667445,-1235074,25801460,124510,32275
1615674561.818968580,1,1,-51206,373655,-1236918,25800604,124384,-293156
1615674562.822504477,1,1,-50510,545060,-1233968,25801950,125991,-60540
1615674563.826039200,1,1,-49213,737812,-1233231,25802440,125329,162777
1615674564.829576529,1,1,-46556,725018,-1234952,25800604,128070,83481
1615674565.833099684,1,1,-49814,645555,-1235197,25801950,125108,-1015
1615674566.836626771,1,1,-50668,430370,-1235443,25799502,124793,-198712
1615674567.840169164,1,1,-49941,551282,-1234337,25801583,125234,-52466
1615674568.843698316,1,1,-48233,831524,-1232494,25803419,128732,244892
1615674569.847242502,1,1,-49909,679099,-1232740,25801093,123344,30418
1615674570.850763702,1,1,-50984,409619,-1235566,25799992,124384,-270618
1615674571.854290244,1,1,-51301,539715,-1234583,25801338,126054,-58631
1615674572.857833594,1,1,-51522,644100,-1233354,25802440,126274,51784
1615674573.861356696,1,1,-47505,737864,-1232863,25802072,129015,99890
